EElowEtaGold	201657	202305	0.9914	0.0012	0	0
EElowEtaGold	202305	203002	0.9934	0.0014	0	0
EEhighEtaBad	190645	190781	0.9958	0.0024	0	0
EEhighEtaBad	190782	191042	1.0005	0.0023	0	0
EEhighEtaBad	191043	193555	0.9982	0.0011	0	0
EEhighEtaBad	193556	194150	0.9990	0.0011	0	0
EEhighEtaBad	194151	194532	0.9993	0.0011	0	0
EEhighEtaBad	194533	195113	0.9996	0.0010	0	0
EEhighEtaBad	195114	195915	0.9997	0.0009	0	0
EEhighEtaBad	195916	198115	0.9987	0.0009	0	0
EEhighEtaBad	198116	199803	1.0041	0.0008	0	0
EEhighEtaBad	199804	200048	1.0055	0.0011	0	0
EEhighEtaBad	200049	200151	1.0097	0.0019	0	0
EEhighEtaBad	200152	200490	1.0065	0.0013	0	0
EEhighEtaBad	200491	200531	1.0096	0.0019	0	0
EEhighEtaBad	200532	201656	1.0063	0.0010	0	0
EEhighEtaBad	201657	202305	1.0116	0.0009	0	0
EEhighEtaBad	202305	203002	1.0135	0.0012	0	0
EEhighEtaGold	190645	190781	0.9839	0.0024	0	0
EEhighEtaGold	190782	191042	0.9886	0.0022	0	0
EEhighEtaGold	191043	193555	0.9864	0.0010	0	0
EEhighEtaGold	193556	194150	0.9872	0.0010	0	0
EEhighEtaGold	194151	194532	0.9874	0.0010	0	0
EEhighEtaGold	194533	195113	0.9878	0.0009	0	0
EEhighEtaGold	195114	195915	0.9878	0.0008	0	0
EEhighEtaGold	195916	198115	0.9869	0.0008	0	0
EEhighEtaGold	198116	199803	0.9923	0.0007	0	0
EEhighEtaGold	199804	200048	0.9937	0.0011	0	0
EEhighEtaGold	200049	200151	0.9980	0.0018	0	0
EEhighEtaGold	200152	200490	0.9948	0.0012	0	0
EEhighEtaGold	200491	200531	0.9979	0.0018	0	0
EEhighEtaGold	200532	201656	0.9945	0.0009	0	0
EEhighEtaGold	201657	202305	0.9999	0.0008	0	0
EEhighEtaGold	202305	203002	1.0018	0.0011	0	0
